id,opensora2/appearance_style,Sora_cla/appearance_style,wan2.1_cla/appearance_style,wan2.2_cla/appearance_style,vidu_cla/appearance_style,Kling-1.6_cla/appearance_style,hunyuanvideo_cla/appearance_style,veo_3_cla/appearance_style,difficulty
"A beautiful coastal beach in spring, waves lapping on sand, Van Gogh style",0.2131899224806202,0.3151047916666667,0.2677821180555555,0.23078279320987655,0.2189667338709677,0.17815344592842322,0.2041780523255814,0.3026202799479167,level0
"A beautiful coastal beach in spring, waves lapping on sand, oil painting",0.2537364341085272,0.206876875,0.2635252700617284,0.24343132716049384,0.2135516633064516,0.22730987422199167,0.2574040697674419,0.2297615559895833,level0
"A beautiful coastal beach in spring, waves lapping on sand by Hokusai, in the style of Ukiyo",0.3024607558139535,0.29170520833333335,0.23113136574074075,0.2267229938271605,0.21428679435483872,0.17540642829356845,0.18922238372093023,0.26641455078125,level0
"A beautiful coastal beach in spring, waves lapping on sand, black and white",0.24846826550387596,0.23720083333333336,0.16414279513888888,0.1617212577160494,0.186172127016129,0.235086229253112,0.2432747093023256,0.24171289062499998,level0
"A beautiful coastal beach in spring, waves lapping on sand, pixel art",0.27351065891472864,0.30142541666666667,0.2784375,0.2889552469135802,0.26735282258064513,0.21890625,0.23491593992248064,0.29306998697916664,level0
"A beautiful coastal beach in spring, waves lapping on sand, in cyberpunk style",0.17632461240310077,0.230540625,0.25134403935185184,0.251429012345679,0.19641607862903226,0.2399247925311203,0.15247880329457364,0.26131005859374995,level0
"A beautiful coastal beach in spring, waves lapping on sand, animated style",0.24517272286821706,0.2187322916666667,0.23913532021604939,0.24167399691358024,0.22991406250000002,0.23102842971991702,0.2278892926356589,0.23614680989583334,level0
"A beautiful coastal beach in spring, waves lapping on sand, watercolor painting",0.2744115794573644,0.28468249999999995,0.2380656828703704,0.25402816358024694,0.2246350806451613,0.24150350103734441,0.23858502906976745,0.26596923828124996,level0
"A beautiful coastal beach in spring, waves lapping on sand, surrealism style",0.22938275193798446,0.25447604166666665,0.21745900848765432,0.21844560185185186,0.2114576612903226,0.23687435165975104,0.22036555232558142,0.2516472981770833,level0
"The bund Shanghai, Van Gogh style",0.25113929263565893,0.276353125,0.1694970100308642,0.16543576388888886,0.2650452368951613,0.17031995591286309,0.28422553294573644,0.31023209635416665,level0
"The bund Shanghai, oil painting",0.21194718992248066,0.21669916666666666,0.16885681905864197,0.18875887345679015,0.19282106854838704,0.1939480679460581,0.20074927325581396,0.19890006510416666,level0
"The bund Shanghai by Hokusai, in the style of Ukiyo",0.2375436046511628,0.2574014583333334,0.2687934027777778,0.1638377700617284,0.23362903225806453,0.19900058350622407,0.28772577519379844,0.2605040690104167,level0
"The bund Shanghai, black and white",0.2161911337209302,0.2327410416666667,0.20884693287037034,0.20166203703703706,0.2071615423387097,0.19437273080912865,0.21868095930232562,0.22718619791666667,level0
"The bund Shanghai, pixel art",0.2521749031007752,0.30567979166666664,0.2419222608024691,0.22016820987654317,0.20668094758064517,0.18805951763485476,0.23007546027131784,0.20301180013020836,level0
"The bund Shanghai, in cyberpunk style",0.2366472868217054,0.23202833333333334,0.21467689043209878,0.21584722222222222,0.2550037802419355,0.21199494294605808,0.2197172965116279,0.2504913736979167,level0
"The bund Shanghai, animated style",0.22863008720930234,0.22940562499999997,0.24217689043209875,0.17970563271604936,0.24179158266129033,0.17884854771784234,0.21578561046511627,0.18973030598958335,level0
"The bund Shanghai, watercolor painting",0.22588275193798452,0.2519929166666667,0.2406954089506173,0.1851500771604938,0.22643397177419353,0.19039273210580912,0.2304126695736434,0.24144970703125002,level0
"The bund Shanghai, surrealism style",0.20477277131782948,0.25705020833333336,0.2079320987654321,0.19339544753086418,0.21412172379032257,0.2089428812240664,0.2293449612403101,0.2434991861979167,level0
"a shark is swimming in the ocean, Van Gogh style",0.23324273255813951,0.2617827083333334,0.2233887924382716,0.12362770061728397,0.16540587197580647,0.19550894709543568,0.1733547722868217,0.24442626953125002,level0
"a shark is swimming in the ocean, oil painting",0.21230062984496123,0.26110541666666665,0.2103973765432099,0.1965408950617284,0.20938936491935486,0.19674792531120333,0.21934181201550387,0.21599137369791666,level0
"a shark is swimming in the ocean by Hokusai, in the style of Ukiyo",0.3090547480620155,0.28769541666666665,0.19266420717592594,0.15480246913580248,0.19587500000000002,0.247999059906639,0.2885954457364341,0.29890869140625,level0
"a shark is swimming in the ocean, black and white",0.21778633720930235,0.2227760416666667,0.18279851466049382,0.18612037037037038,0.183046875,0.20359504668049794,0.18627870639534883,0.22763818359375004,level0
"a shark is swimming in the ocean, pixel art",0.2598742732558139,0.29694062500000007,0.2735344328703704,0.1894236111111111,0.25674218749999994,0.18649450531639,0.24918725775193798,0.27965771484375,level0
"a shark is swimming in the ocean, in cyberpunk style",0.16808733042635657,0.23961729166666665,0.2318793402777778,0.18859645061728392,0.18398752520161293,0.201145617219917,0.17581177325581396,0.23357666015624998,level0
"a shark is swimming in the ocean, animated style",0.22122286821705428,0.21361895833333336,0.21966676311728395,0.19871604938271603,0.22538860887096773,0.20761070409751037,0.2060358527131783,0.22941455078125003,level0
"a shark is swimming in the ocean, watercolor painting",0.24720736434108526,0.25441625,0.19935329861111112,0.20770640432098766,0.20711668346774195,0.202495947873444,0.23757315891472866,0.22053971354166668,level0
"a shark is swimming in the ocean, surrealism style",0.18555111434108523,0.23512416666666666,0.22897858796296294,0.18334837962962963,0.19853780241935487,0.2011328125,0.18451647286821707,0.20868310546875005,level0
"A panda drinking coffee in a cafe in Paris, Van Gogh style",0.18366739341085273,0.2877089583333333,0.19709683641975312,0.16375038580246914,0.19102356350806451,0.20246612422199173,0.22634060077519375,0.21239990234375,level0
"A panda drinking coffee in a cafe in Paris, oil painting",0.20256782945736435,0.24674104166666672,0.2134355709876543,0.19785300925925925,0.2113780241935484,0.19840070669087137,0.23593459302325584,0.20150992838541665,level0
"A panda drinking coffee in a cafe in Paris by Hokusai, in the style of Ukiyo",0.22316860465116278,0.24799812499999999,0.18817467206790123,0.1939043209876543,0.1993758820564516,0.21959300440871368,0.20668943798449613,0.22892936197916666,level0
"A panda drinking coffee in a cafe in Paris, black and white",0.24302713178294572,0.24007187500000002,0.2391603973765432,0.19553819444444445,0.20489667338709677,0.24400269061203322,0.2311579457364341,0.23857714843749997,level0
"A panda drinking coffee in a cafe in Paris, pixel art",0.2632359496124031,0.295915625,0.26424913194444444,0.2459807098765432,0.2649571572580645,0.18999675829875518,0.2738452034883721,0.26296110026041664,level0
"A panda drinking coffee in a cafe in Paris, in cyberpunk style",0.20235755813953488,0.238924375,0.25669608410493827,0.2145547839506173,0.20097731854838705,0.25124935165975104,0.2346814437984496,0.24630973307291665,level0
"A panda drinking coffee in a cafe in Paris, animated style",0.24505959302325583,0.23736520833333336,0.2419159915123457,0.2446346450617284,0.23606023185483868,0.22512885762448134,0.2406497093023256,0.22694970703125,level0
"A panda drinking coffee in a cafe in Paris, watercolor painting",0.2295889050387597,0.19634135416666668,0.22608506944444445,0.22352854938271607,0.22927066532258067,0.2177510697614108,0.22222747093023254,0.21717220052083333,level0
"A panda drinking coffee in a cafe in Paris, surrealism style",0.22009399224806198,0.23752208333333336,0.23182966820987655,0.20842361111111113,0.21118069556451613,0.23418033584024897,0.2262638081395349,0.22370784505208335,level0
"A cute happy Corgi playing in park, sunset, Van Gogh style",0.17736482558139535,0.2444227083333333,0.2736622299382716,0.19034182098765431,0.22436995967741935,0.1865781412085062,0.17731552810077522,0.25137972005208337,level0
"A cute happy Corgi playing in park, sunset, oil painting",0.21020494186046515,0.20534895833333336,0.23580536265432098,0.1853923611111111,0.2044145665322581,0.20161890560165976,0.20048982558139533,0.21119970703125,level0
"A cute happy Corgi playing in park, sunset by Hokusai, in the style of Ukiyo",0.23697698643410853,0.2574466666666667,0.18885995370370368,0.20171141975308643,0.1947890625,0.2100575401970954,0.1745950823643411,0.2674166666666667,level0
"A cute happy Corgi playing in park, sunset, black and white",0.2433846899224806,0.2455983333333333,0.1717679398148148,0.16427083333333334,0.1803384576612903,0.21663154823651454,0.24722722868217054,0.22721663411458332,level0
"A cute happy Corgi playing in park, sunset, pixel art",0.2711911337209302,0.27937520833333335,0.25286458333333334,0.1992399691358025,0.2466852318548387,0.24139133817427388,0.19060029069767442,0.2697530924479167,level0
"A cute happy Corgi playing in park, sunset, in cyberpunk style",0.18417587209302325,0.2304275,0.2120654899691358,0.21649189814814815,0.19036416330645162,0.22624821706431536,0.21980547480620155,0.20473844401041666,level0
"A cute happy Corgi playing in park, sunset, animated style",0.24855499031007752,0.2460379166666667,0.2466820987654321,0.22349074074074077,0.23984853830645161,0.23745526452282156,0.23627034883720932,0.2434833984375,level0
"A cute happy Corgi playing in park, sunset, watercolor painting",0.21133938953488376,0.25235979166666667,0.25783130787037034,0.23822608024691355,0.1863407258064516,0.20802677645228215,0.19019888565891474,0.19252034505208332,level0
"A cute happy Corgi playing in park, sunset, surrealism style",0.20385416666666667,0.23036833333333334,0.22927662037037036,0.22688194444444446,0.22570211693548387,0.2377881872406639,0.2180692829457364,0.23964534505208338,level0
"Gwen Stacy reading a book, Van Gogh style",0.20748498062015502,0.26173375000000004,0.2134326774691358,0.23497453703703708,0.2378980594758064,0.23618176218879666,0.24430402131782944,0.2790045572916667,level0
"Gwen Stacy reading a book, oil painting",0.25407267441860465,0.24502520833333336,0.20611930941358025,0.19529706790123458,0.21245539314516124,0.20370348158713691,0.2587730135658915,0.20133561197916666,level0
"Gwen Stacy reading a book by Hokusai, in the style of Ukiyo",0.262609496124031,0.25239979166666665,0.2304494598765432,0.24450655864197524,0.2601587701612903,0.22611935943983402,0.23671136143410854,0.28893343098958335,level0
"Gwen Stacy reading a book, black and white",0.2150656492248062,0.222421875,0.2185112847222222,0.18725385802469136,0.21233795362903227,0.223207177126556,0.22825799418604653,0.2417527669270833,level0
"Gwen Stacy reading a book, pixel art",0.29573740310077523,0.28702458333333336,0.27520399305555554,0.24262538580246912,0.19891746471774194,0.21756434776970957,0.2618650678294573,0.27871305338541663,level0
"Gwen Stacy reading a book, in cyberpunk style",0.26506153100775187,0.2751695833333333,0.25931037808641977,0.23112114197530867,0.24987222782258062,0.26496742090248965,0.2391911337209302,0.26355126953125,level0
"Gwen Stacy reading a book, animated style",0.2456320251937984,0.22802791666666664,0.2342853009259259,0.2511936728395062,0.25337701612903224,0.23008363589211617,0.23943386627906976,0.2532469075520833,level0
"Gwen Stacy reading a book, watercolor painting",0.2437461240310077,0.24169666666666662,0.2716719714506173,0.2417920524691358,0.20494279233870966,0.19657287344398341,0.24663711240310077,0.20887727864583333,level0
"Gwen Stacy reading a book, surrealism style",0.22060804263565892,0.222058125,0.21275752314814814,0.21424652777777772,0.23193170362903226,0.25012448132780085,0.20676550387596898,0.21392854817708334,level0
"A boat sailing leisurely along the Seine River with the Eiffel Tower in background, Van Gogh style",0.2313517441860465,0.30944874999999994,0.29699170524691354,0.19522627314814817,0.25631754032258064,0.21663008947095436,0.20446523740310077,0.30344108072916665,level0
"A boat sailing leisurely along the Seine River with the Eiffel Tower in background, oil painting",0.22343241279069764,0.27426125,0.2009331597222222,0.2069101080246914,0.21434979838709678,0.17587493516597513,0.19719500968992248,0.23438281249999998,level0
"A boat sailing leisurely along the Seine River with the Eiffel Tower in background by Hokusai, in the style of Ukiyo",0.26370445736434106,0.26295687500000003,0.18566743827160495,0.14582388117283948,0.23571345766129032,0.15848709802904565,0.23884786821705423,0.26799983723958337,level0
"A boat sailing leisurely along the Seine River with the Eiffel Tower in background, black and white",0.23176913759689924,0.22950687500000005,0.22578800154320988,0.20355439814814816,0.2151796875,0.22421437370331954,0.2301865310077519,0.23992757161458336,level0
"A boat sailing leisurely along the Seine River with the Eiffel Tower in background, pixel art",0.2500818798449612,0.29914062500000005,0.2762027391975309,0.18099131944444444,0.263641129032258,0.19226124870331948,0.24355184108527128,0.2740323893229167,level0
"A boat sailing leisurely along the Seine River with the Eiffel Tower in background, in cyberpunk style",0.18951671511627904,0.23164354166666667,0.24945650077160494,0.19328587962962965,0.2138790322580645,0.2317211812759336,0.2010714631782946,0.23967236328125,level0
"A boat sailing leisurely along the Seine River with the Eiffel Tower in background, animated style",0.24462742248062014,0.24325229166666668,0.2043185763888889,0.18973456790123458,0.24127746975806455,0.20953173625518673,0.21142248062015506,0.22168880208333333,level0
"A boat sailing leisurely along the Seine River with the Eiffel Tower in background, watercolor painting",0.24893410852713177,0.2792066666666667,0.26045476466049383,0.23959567901234569,0.21567489919354838,0.19180708635892116,0.20046729651162792,0.25530501302083336,level0
"A boat sailing leisurely along the Seine River with the Eiffel Tower in background, surrealism style",0.22463953488372096,0.2918160416666667,0.24919560185185186,0.19634066358024688,0.21923790322580644,0.2239770811721992,0.20280256782945738,0.2237262369791667,level0
"A couple in formal evening wear going home get caught in a heavy downpour with umbrellas, Van Gogh style",0.18588347868217053,0.2600704166666667,0.2647781635802469,0.18494000771604938,0.1851224798387097,0.17146824753630707,0.16587027616279068,0.17166927083333333,level0
"A couple in formal evening wear going home get caught in a heavy downpour with umbrellas, oil painting",0.21889074612403098,0.25196541666666666,0.22081114969135804,0.18590432098765433,0.2033671875,0.19823878371369297,0.21002071220930235,0.20805745442708337,level0
"A couple in formal evening wear going home get caught in a heavy downpour with umbrellas by Hokusai, in the style of Ukiyo",0.2494086724806201,0.297319375,0.1824626253858025,0.16971122685185186,0.16641368447580646,0.16360841869813278,0.22076138565891473,0.25363476562500004,level0
"A couple in formal evening wear going home get caught in a heavy downpour with umbrellas, black and white",0.2373190406976744,0.2359129166666667,0.1961791087962963,0.1862800925925926,0.21736365927419352,0.21812791753112032,0.22514970930232558,0.2292744140625,level0
"A couple in formal evening wear going home get caught in a heavy downpour with umbrellas, pixel art",0.22674563953488375,0.28958458333333337,0.26738763503086416,0.18700154320987655,0.23320703125,0.23485849974066392,0.23424297480620154,0.23608772786458335,level0
"A couple in formal evening wear going home get caught in a heavy downpour with umbrellas, in cyberpunk style",0.21249951550387597,0.2596833333333334,0.23687499999999997,0.20175540123456787,0.19281653225806453,0.21626766727178426,0.18643531976744185,0.236572265625,level0
"A couple in formal evening wear going home get caught in a heavy downpour with umbrellas, animated style",0.21623522286821703,0.200693125,0.24149498456790125,0.20223649691358023,0.2075625,0.23373654693983403,0.2381671511627907,0.24106201171875,level0
"A couple in formal evening wear going home get caught in a heavy downpour with umbrellas, watercolor painting",0.24958793604651164,0.25185416666666666,0.24248360339506173,0.19202430555555555,0.20370866935483872,0.19628160658713695,0.2286654554263566,0.195390625,level0
"A couple in formal evening wear going home get caught in a heavy downpour with umbrellas, surrealism style",0.22426041666666668,0.23534708333333337,0.23520351080246915,0.20598919753086423,0.21023639112903228,0.21174338692946057,0.2150823643410853,0.1989021809895833,level0
"An astronaut flying in space, Van Gogh style",0.25444343507751943,0.21827750000000004,0.2547410300925925,0.18992881944444445,0.26923714717741937,0.20652424792531118,0.2555118701550388,0.25033186848958333,level0
"An astronaut flying in space, oil painting",0.2154767441860465,0.21238791666666662,0.21025028935185186,0.1896238425925926,0.2046328125,0.18974406768672197,0.22439922480620153,0.20713688151041665,level0
"An astronaut flying in space by Hokusai, in the style of Ukiyo",0.2462090600775194,0.24619875000000002,0.2138671875,0.24647839506172842,0.22707031250000004,0.18988183998962657,0.27647165697674414,0.23160986328125,level0
"An astronaut flying in space, black and white",0.2102078488372093,0.207223125,0.1979103973765432,0.1824903549382716,0.1783913810483871,0.17551834802904567,0.20650944767441856,0.215919921875,level0
"An astronaut flying in space, pixel art",0.2572233527131783,0.29642375000000004,0.28484278549382713,0.22196797839506174,0.23860282258064514,0.23015446706431536,0.2746913759689923,0.2558614908854167,level0
"An astronaut flying in space, in cyberpunk style",0.20365237403100775,0.23877020833333334,0.2560701195987654,0.19900270061728392,0.2181499495967742,0.22940368905601663,0.19830402131782945,0.23842057291666663,level0
"An astronaut flying in space, animated style",0.25018992248062016,0.23556541666666667,0.24594666280864197,0.24151890432098763,0.23368573588709673,0.23862065612033195,0.22916303294573642,0.21819921875,level0
"An astronaut flying in space, watercolor painting",0.22325654069767445,0.22512354166666668,0.2008347800925926,0.20740933641975307,0.2004116683467742,0.181176575466805,0.2316889534883721,0.21251839192708336,level0
"An astronaut flying in space, surrealism style",0.21757727713178293,0.2458870833333333,0.2141893325617284,0.22873572530864195,0.20714994959677419,0.21270082339211618,0.2084280523255814,0.21176057942708332,level0
"Snow rocky mountains peaks canyon. snow blanketed rocky mountains surround and shadow deep canyons. the canyons twist and bend through the high elevated mountain peaks, Van Gogh style",0.18069173934108526,0.25386145833333335,0.22909047067901236,0.1517860725308642,0.1830054183467742,0.1629126685684647,0.16725387596899224,0.1853173014322917,level0
"Snow rocky mountains peaks canyon. snow blanketed rocky mountains surround and shadow deep canyons. the canyons twist and bend through the high elevated mountain peaks, oil painting",0.22850072674418603,0.23180104166666665,0.19138358410493825,0.19056520061728396,0.18595337701612905,0.20070263874481328,0.19665746124031008,0.18237825520833334,level0
"Snow rocky mountains peaks canyon. snow blanketed rocky mountains surround and shadow deep canyons. the canyons twist and bend through the high elevated mountain peaks by Hokusai, in the style of Ukiyo",0.31152664728682167,0.1916534375,0.17039038387345679,0.20416550925925928,0.1742827620967742,0.16226157287344395,0.285671753875969,0.29057845052083336,level0
"Snow rocky mountains peaks canyon. snow blanketed rocky mountains surround and shadow deep canyons. the canyons twist and bend through the high elevated mountain peaks, black and white",0.2046780523255814,0.21849499999999997,0.16679349922839506,0.17317264660493825,0.2121451612903226,0.17306527165456434,0.21644840116279074,0.22313411458333335,level0
"Snow rocky mountains peaks canyon. snow blanketed rocky mountains surround and shadow deep canyons. the canyons twist and bend through the high elevated mountain peaks, pixel art",0.24089147286821708,0.27903770833333336,0.2122921489197531,0.22407523148148148,0.23119002016129034,0.20729885243775936,0.25975000000000004,0.20449007161458335,level0
"Snow rocky mountains peaks canyon. snow blanketed rocky mountains surround and shadow deep canyons. the canyons twist and bend through the high elevated mountain peaks, in cyberpunk style",0.16447868217054265,0.2029464583333333,0.206983024691358,0.21618518518518517,0.187820564516129,0.21642991441908715,0.20559883720930233,0.20462727864583333,level0
"Snow rocky mountains peaks canyon. snow blanketed rocky mountains surround and shadow deep canyons. the canyons twist and bend through the high elevated mountain peaks, animated style",0.24347989341085272,0.20278583333333336,0.20850163966049384,0.1826539351851852,0.22656300403225807,0.20044281639004147,0.1843720930232558,0.1938025716145833,level0
"Snow rocky mountains peaks canyon. snow blanketed rocky mountains surround and shadow deep canyons. the canyons twist and bend through the high elevated mountain peaks, watercolor painting",0.25343822674418603,0.21974385416666667,0.18649691358024695,0.23203395061728394,0.1866960685483871,0.19627479901452283,0.2227378875968992,0.2299947916666667,level0
"Snow rocky mountains peaks canyon. snow blanketed rocky mountains surround and shadow deep canyons. the canyons twist and bend through the high elevated mountain peaks, surrealism style",0.20475508720930233,0.17739270833333334,0.21736448688271606,0.1926616512345679,0.1882510080645161,0.1830930692427386,0.19626574612403097,0.17739436848958334,level0
