id,opensora2/object_class,Sora_cla/object_class,wan2.1_cla/object_class,wan2.2_cla/object_class,vidu_cla/object_class,Kling-1.6_cla/object_class,hunyuanvideo_cla/object_class,veo_3_cla/object_class,difficulty
a person,1.0,0.975,1.0,1.0,1.0,1.0,1.0,1.0,level0
a bicycle,1.0,1.0,1.0,1.0,0.975,0.9375,0.7625,1.0,level0
a car,1.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0,level0
a motorcycle,0.95,0.9625,1.0,1.0,1.0,1.0,0.825,1.0,level0
an airplane,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
a bus,1.0,1.0,1.0,0.925,0.925,0.984375,0.9375,1.0,level0
a train,1.0,1.0,1.0,0.9875,1.0,0.765625,1.0,1.0,level0
a truck,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
a boat,0.9375,0.95,1.0,1.0,0.9875,1.0,0.9875,1.0,level0
a traffic light,0.825,1.0,1.0,1.0,0.9625,0.765625,1.0,1.0,level0
a fire hydrant,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0,level0
a stop sign,1.0,1.0,1.0,1.0,0.9125,1.0,0.95,1.0,level0
a parking meter,1.0,0.9875,1.0,1.0,0.7125,0.828125,0.675,1.0,level0
a bench,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
a bird,1.0,1.0,0.90625,1.0,0.975,1.0,1.0,1.0,level0
a cat,1.0,1.0,0.484375,1.0,1.0,0.921875,1.0,1.0,level0
a dog,1.0,1.0,1.0,1.0,0.975,0.9375,1.0,1.0,level0
a horse,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
a sheep,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
a cow,1.0,1.0,1.0,1.0,0.9375,0.953125,1.0,1.0,level0
an elephant,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
a bear,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,level0
a zebra,1.0,1.0,1.0,1.0,0.85,1.0,1.0,1.0,level0
a giraffe,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
a backpack,0.65625,0.71875,0,0.4375,1.0,0.984375,0.3958333333333333,0.75,level0
an umbrella,1.0,0.975,1.0,1.0,0.925,1.0,1.0,0.9875,level0
a handbag,0.9375,0.925,0.8125,0.7875,1.0,0.515625,0.65,0.390625,level0
a tie,1.0,0.9125,0,0.9625,0.5416666666666666,1.0,0.85,1.0,level0
a suitcase,1.0,0.925,1.0,1.0,0.975,1.0,1.0,1.0,level0
a frisbee,0.9875,0.875,0.8125,0.95,0.6,0.734375,0.8875,0.8875,level0
skis,1.0,0.95,1.0,0.6625,0.775,0.921875,0.703125,0.95,level0
a snowboard,0.9625,0.9875,0.984375,1.0,0.925,0.90625,0.6458333333333334,0.796875,level0
a sports ball,1.0,1.0,0.953125,1.0,0.625,0.921875,0.5,0.6875,level0
a kite,1.0,1.0,1.0,1.0,0.925,1.0,1.0,1.0,level0
a baseball bat,1.0,0.75,1.0,1.0,0.8375,0.828125,0.5625,0.6666666666666666,level0
a baseball glove,1.0,0.725,1.0,1.0,0.975,0.796875,1.0,0.9875,level0
a skateboard,1.0,1.0,0.875,0.9125,0.925,1.0,1.0,0.9375,level0
a surfboard,1.0,0.9625,1.0,1.0,1.0,0.984375,0.675,1.0,level0
a tennis racket,1.0,0.375,0.96875,1.0,0.8,1.0,1.0,0.925,level0
a bottle,1.0,0.8125,0.78125,0.8125,1.0,0.796875,0.75,0.8375,level0
a wine glass,1.0,1.0,1.0,1.0,1.0,0.96875,1.0,1.0,level0
a cup,1.0,0.8,1.0,1.0,0.9625,1.0,0.9375,1.0,level0
a fork,0.825,0.925,0.84375,0.925,0.6125,0.984375,0.890625,0.9375,level0
a knife,1.0,1.0,0.8125,0.75,0.875,0.703125,0.5,0.8375,level0
a spoon,0.75,1.0,0,1.0,0.875,0.84375,0.75,0.9875,level0
a bowl,1.0,1.0,0.984375,0.8875,0.675,1.0,0.6625,1.0,level0
a banana,0.85,1.0,1.0,1.0,1.0,1.0,0.875,1.0,level0
an apple,0.65,1.0,1.0,1.0,0.875,1.0,0.7,1.0,level0
a sandwich,1.0,0.9625,1.0,1.0,0.9875,1.0,1.0,1.0,level0
an orange,0.675,1.0,0.921875,0.9625,0.9875,1.0,1.0,1.0,level0
broccoli,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
a carrot,1.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0,level0
a hot dog,0.95,1.0,0.22916666666666666,1.0,0.8125,0.921875,1.0,1.0,level0
a pizza,1.0,0.8375,1.0,1.0,1.0,1.0,1.0,1.0,level0
a donut,0.825,1.0,0.984375,1.0,0.9625,1.0,1.0,1.0,level0
a cake,1.0,0.825,1.0,1.0,1.0,1.0,1.0,1.0,level0
a chair,0.8875,1.0,1.0,1.0,1.0,0.984375,0.9375,1.0,level0
a couch,1.0,0.9375,1.0,1.0,1.0,1.0,0.7625,1.0,level0
a potted plant,1.0,1.0,1.0,1.0,1.0,1.0,0.9875,1.0,level0
a bed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
a dining table,1.0,0.9625,1.0,0.9375,0.975,0.984375,1.0,0.6875,level0
a toilet,0.6875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
a tv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,level0
a laptop,1.0,1.0,1.0,1.0,0.9875,0.96875,0.90625,0.9875,level0
a remote,1.0,1.0,0.921875,1.0,0.9375,1.0,0.828125,1.0,level0
a keyboard,1.0,1.0,1.0,1.0,1.0,0.859375,1.0,1.0,level0
a cell phone,1.0,0.9625,0.9791666666666666,0.890625,0.8875,0.953125,1.0,0.8375,level0
a microwave,1.0,0.8,0.65625,0.9875,0.9875,0.96875,1.0,1.0,level0
an oven,0.925,1.0,0.9791666666666666,1.0,0.9125,1.0,0.875,1.0,level0
a toaster,0.65,0.6875,0.953125,1.0,0.5,0.625,0,0.8958333333333334,level0
a sink,0.8875,0.975,0.9583333333333334,1.0,0.95,0.984375,0.9375,1.0,level0
a refrigerator,1.0,1.0,1.0,1.0,0.9875,1.0,0.9875,1.0,level0
a book,0.9625,1.0,0.875,1.0,0.9125,0.96875,0.7375,0.8625,level0
a clock,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
a vase,1.0,1.0,1.0,1.0,1.0,0.984375,0.875,1.0,level0
scissors,0.825,0.9375,1.0,0.9125,0.7125,0.890625,0.975,1.0,level0
a teddy bear,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
a hair drier,0.9875,0.975,0.734375,0.953125,0.5833333333333334,0.8125,0.4375,0.725,level0
a toothbrush,0.9375,1.0,0.984375,1.0,0.8625,0.984375,0.9875,1.0,level0
