id,opensora2/background_consistency,opensora2/scene,Sora_cla/background_consistency,Sora_cla/scene,wan2.1_cla/background_consistency,wan2.1_cla/scene,wan2.2_cla/background_consistency,wan2.2_cla/scene,vidu_cla/background_consistency,vidu_cla/scene,Kling-1.6_cla/background_consistency,Kling-1.6_cla/scene,hunyuanvideo_cla/background_consistency,hunyuanvideo_cla/scene,veo_3_cla/background_consistency,veo_3_cla/scene,difficulty
alley,0.9722488403320313,1.0,0.9412853266568793,1.0,0.9805770874023438,1.0,0.98338623046875,0.953125,0.9433820026676829,0.725,0.9617515563964844,0.859375,0.958590316772461,1.0,0.9444453534031414,0.95,level0
amusement park,0.9747871398925781,1.0,0.9176593959731543,0.234375,0.9475738525390625,0.90625,0.9628704833984376,0.775,0.8909616361788618,0.578125,0.9627141316731771,0.5416666666666666,0.964413070678711,0.8,0.9207693369600787,0.6625,level0
aquarium,0.9689895629882812,0.95,0.9596686241610737,0.8125,0.9812248229980469,1.0,0.9755474853515625,1.0,0.9433470687245935,0.8375,0.9798177083333333,0,0.9790531158447265,0.7875,0.9683974660503927,0.925,level0
arch,0.9784847259521484,0.609375,0.9478092884857382,0.925,0.9828399658203125,0.75,0.9712390136718749,0.625,0.9581332571138212,0.625,0.9641675313313802,0.609375,0.9763507843017578,0,0.9567474844568062,0.85,level0
art gallery,0.9418685913085938,0.8375,0.893199290845218,0.9125,0.9805023193359375,0,0.9482598876953124,0.8125,0.9450759019308943,0.5,0.9447049458821615,0.1875,0.9452587127685547,0.3625,0.922575721940445,0.9875,level0
bathroom,0.9058887481689453,0.8625,0.9764219143246644,1.0,0.9952186584472656,1.0,0.9917260742187501,1.0,0.9662776295731706,1.0,0.9555806477864583,0.859375,0.9709693908691406,0.85,0.9570207685700263,1.0,level0
bakery shop,0.9754467010498047,0,0.9588781984060404,0,0.9481285095214844,0,0.9747259521484374,0,0.9487364233993902,0,0.9414413452148438,0,0.970431900024414,0,0.9244360479384817,0.25,level0
ballroom,0.9696155548095703,0.8541666666666666,0.9244864854236576,0.7,0.9625877380371093,0.1875,0.9559564208984375,0.9625,0.9274934101880081,0.65625,0.9451822916666667,0.953125,0.9662406921386719,0.859375,0.9462064892833769,0.6125,level0
bar,0.9808666229248046,0.8875,0.9508454802852351,1.0,0.9871749877929688,1.0,0.9404876708984375,0.46875,0.9301904693851626,0.671875,0.9722124735514323,1.0,0.9695457458496094,0.3541666666666667,0.9571841254908376,1.0,level0
barn,0.9808666229248046,0.8875,0.9508454802852351,1.0,0.9871749877929688,1.0,0.9404876708984375,0.46875,0.9301904693851626,0.671875,0.9722124735514323,1.0,0.9695457458496094,0.3541666666666667,0.9571841254908376,1.0,level0
basement,0.9654510498046875,0.8125,0.9602168755243289,0.21875,0.9837944030761718,0,0.9887414550781252,1.0,0.9372129858993903,0,0.9403218587239585,0,0.9425376892089844,0.75,0.9447966091295811,0.515625,level0
beach,0.9501171112060547,1.0,0.9657619809144296,0.925,0.9737480163574219,1.0,0.9778643798828124,0.9875,0.9412585746951219,0.625,0.9613329569498698,1.0,0.9739810943603515,1.0,0.9729453840804974,1.0,level0
bedroom,0.948626708984375,0.734375,0.9775262819840604,0.7625,0.9943336486816406,0.7916666666666666,0.9864337158203125,0.8375,0.9667476498983738,0.984375,0.9660690307617188,1.0,0.9677433013916016,1.0,0.9528036546956805,0.9125,level0
bridge,0.9868663787841797,1.0,0.9742711828859061,1.0,0.9868232727050781,1.0,0.9813824462890626,1.0,0.9559709254319106,0.9625,0.9340835571289062,1.0,0.9637683868408203,0.8875,0.962239753763089,1.0,level0
botanical garden,0.9830608367919922,0,0.9384323222525168,0,0.9876007080078124,0,0.9657720947265626,0,0.9504803417174796,0,0.9541697184244792,0,0.9718059539794922,0,0.8965886780104713,0,level0
cafeteria,0.9843231201171875,0,0.9259041395763423,0.671875,0.9699043273925781,0,0.9525122070312501,0.9375,0.931741854039634,0.8125,0.9514879862467447,0.8125,0.963531494140625,1.0,0.9329699770942408,0.575,level0
campsite,0.9881534576416016,0,0.9820882707634228,0,0.9876632690429688,0,0.9736474609375,0,0.9704196836890244,0.34375,0.9709060668945312,0,0.9843372344970703,0,0.9686382832951571,0,level0
campus,0.9292024612426758,0.4791666666666667,0.9304041920092281,0.6041666666666666,0.9616279602050781,0,0.9219653320312501,0.675,0.9094998491488822,0.375,0.9232800801595052,0.46875,0.9677490234375,0.84375,0.9233470017997382,0.4625,level0
carrousel,0.9720836639404297,0,0.9622584810192952,0,0.9736526489257813,0,0.9545068359375,0,0.9440151803861789,0,0.950586446126302,0,0.9559345245361328,0,0.9635939033867802,0,level0
castle,0.9696704864501953,1.0,0.9693555998322146,1.0,0.981420135498047,1.0,0.9803460693359375,0.765625,0.9756669207317072,0.796875,0.9602129618326822,0.859375,0.9690349578857422,1.0,0.9608646412794503,1.0,level0
cemetery,0.9532283782958985,0.9625,0.9623446675755034,0.3333333333333333,0.9850898742675781,0.765625,0.985491943359375,1.0,0.9321412125254065,0.8,0.9587483723958333,0.953125,0.9737461090087891,0.875,0.9518968831806282,0.775,level0
classroom,0.9773822784423828,1.0,0.9765860947986577,1.0,0.9739204406738282,0.5625,0.9588916015625,0.8875,0.9502874110772357,1.0,0.9701250712076823,1.0,0.9685428619384766,0.8875,0.9267815874509162,0.9625,level0
cliff,0.9791263580322266,0.9875,0.9668378381921141,0.875,0.9917396545410155,0.90625,0.9787957763671875,0.703125,0.9206769245426829,0.9166666666666666,0.9737823486328125,1.0,0.9545906066894532,0.875,0.964964158622382,1.0,level0
crosswalk,0.9615310668945313,1.0,0.9475671140939598,0.8,0.9557975769042969,0.90625,0.9330487060546876,0.7,0.9048204871697155,0.6875,0.9080688476562501,0.90625,0.9698768615722656,0.6666666666666666,0.9640251758835078,1.0,level0
construction site,0.971828842163086,0.625,0.9448887767407719,1.0,0.9743247985839844,0.859375,0.9722833251953125,1.0,0.943188675050813,0.7375,0.9489204406738281,0.953125,0.9786659240722656,1.0,0.966654992228403,0.90625,level0
corridor,0.9582817077636718,1.0,0.9684219667575503,0.375,0.9780799865722656,0,0.986695556640625,0.125,0.9666039443597562,0.8125,0.950121561686198,0,0.9542755126953125,0.296875,0.9782372279941098,0.75,level0
courtyard,0.9842525482177734,1.0,0.9551276085360738,1.0,0.9788047790527343,0.84375,0.9863287353515625,1.0,0.9523111979166666,0.828125,0.9607137044270834,0.9375,0.9736553192138672,0.925,0.9180221797284032,0.90625,level0
desert,0.9603164672851563,1.0,0.9649459941275168,1.0,0.9722671508789062,0.953125,0.9700787353515624,1.0,0.9631073742378048,0.9875,0.9376185099283854,0.953125,0.9840042114257812,0.8375,0.9684186845549739,1.0,level0
downtown,0.9645767211914062,0,0.9516962038590604,0,0.958477783203125,0,0.9514080810546875,0,0.9587346767022357,0,0.9586275736490886,0,0.9596702575683593,0,0.9491044768488219,0,level0
driveway,0.9866687774658203,0.9625,0.9566052328020135,1.0,0.9851638793945312,0,0.9851873779296874,1.0,0.9405666444359756,0.5,0.9526133219401043,0,0.9123321533203125,0.7916666666666666,0.9328040637270943,0.90625,level0
farm,0.9767375946044922,0.1875,0.9508753014890938,0.84375,0.96888427734375,0.5,0.9749432373046873,0.8625,0.9629148405741871,0,0.9464452107747395,0.84375,0.9726818084716797,0.890625,0.9314747116328533,0.85,level0
food court,0.9808406829833984,0.8125,0.9147306915897652,0.78125,0.9874000549316406,0.6458333333333334,0.9358526611328125,0,0.9395626905487806,0,0.9208585103352864,0.28125,0.9348651885986328,0.375,0.9386946273723822,0.5625,level0
football field,0.9848537445068359,0.953125,0.9441996119966444,0.7375,0.9440155029296875,0,0.96885986328125,0.9375,0.9199806275406504,0,0.9428332010904947,1.0,0.9612358093261719,0.6625,0.9385923695189791,0.71875,level0
forest road,0.980133056640625,0.625,0.9549139445260068,0.53125,0.9721359252929687,0,0.9816564941406248,0.875,0.9535553226626016,0.59375,0.9376078287760417,0.1875,0.9674537658691407,0.6375,0.9500713248527488,0.359375,level0
fountain,0.9798892974853516,1.0,0.9679258205746644,1.0,0.9759803771972656,1.0,0.9792840576171875,1.0,0.9534060594512196,1.0,0.9570124308268229,1.0,0.9785930633544921,1.0,0.9639436252454189,1.0,level0
gas station,0.9740875244140625,0.875,0.9631400089135906,0.90625,0.9832626342773437,0.90625,0.9087414550781251,0.9625,0.9348601054369918,0.9625,0.9311124165852864,0.765625,0.9521919250488281,1.0,0.9422690506380891,0.8,level0
glacier,0.9749298095703125,0.725,0.9778487442323824,0.890625,0.985926055908203,0.9375,0.9849334716796875,1.0,0.9592551130589431,0.95,0.9818710327148438,0.5,0.9706222534179687,1.0,0.9574216193553664,0.953125,level0
golf course,0.9391128540039062,1.0,0.9763203256082214,1.0,0.9866035461425782,1.0,0.9828228759765626,1.0,0.958249571265244,1.0,0.9559995015462239,1.0,0.9717357635498047,1.0,0.9501129949280104,1.0,level0
indoor gymnasium,0.9741138458251953,0,0.9692638422818792,0,0.9927398681640625,0,0.9509240722656249,0,0.9130968543572153,0,0.9654599507649739,0,0.9705455780029297,0,0.9582146290085077,0,level0
harbor,0.9191307067871094,0.40625,0.9666215525377517,0.625,0.9842636108398437,0,0.9718841552734373,0.8125,0.9470877794715447,1.0,0.970580800374349,0.375,0.950244140625,0.1875,0.9409598944698953,0.7875,level0
highway,0.9685997009277344,0.875,0.9633130374370806,0.9375,0.9733009338378906,1.0,0.9863867187500001,0.171875,0.9410636591717481,1.0,0.961438242594401,1.0,0.9739959716796875,1.0,0.9739094199934556,1.0,level0
hospital,0.947314453125,0.90625,0.9217196675755034,0.925,0.9935493469238281,1.0,0.9737255859374999,0.85,0.9343555481453253,0.875,0.9287877400716146,0.9375,0.9654129028320313,0.3541666666666667,0.9459393406413612,0.8,level0
house,0.9773654937744141,0.25,0.9828521523699665,0.85,0.9919898986816406,0.609375,0.9696136474609375,0.8875,0.9636964875508129,0.59375,0.9641367594401042,1.0,0.9479537963867187,1.0,0.9463138600294503,0.6875,level0
iceberg,0.9862537384033203,1.0,0.9926924942323826,1.0,0.9839073181152344,0.90625,0.981756591796875,1.0,0.9705483041158537,1.0,0.9875500996907551,1.0,0.9788425445556641,1.0,0.9790159215477748,1.0,level0
industrial area,0.9564361572265625,0,0.9695518954488254,0,0.9848159790039063,0,0.981209716796875,0,0.9426932482215447,0,0.9018407185872396,0,0.9781829833984375,0,0.9579819923920156,0,level0
jail cell,0.9312679290771484,0,0.9805605075503356,0.40625,0.9900260925292969,0.8125,0.9866162109375001,0,0.94033600101626,0.5625,0.9597943623860677,0,0.9537796020507813,0,0.9677818737729058,0,level0
junkyard,0.9727359771728515,0,0.9385486577181208,0.625,0.9775489807128906,0.75,0.9866192626953124,0,0.9293373666158538,0.21875,0.9516525268554686,0.4166666666666667,0.9678607940673828,0.875,0.946340447071335,0.5208333333333334,level0
kitchen,0.9126960754394531,0.9625,0.9766336121015101,1.0,0.9830070495605469,1.0,0.9808013916015625,1.0,0.9407663236788618,0.9625,0.9670204162597655,1.0,0.9462615966796875,0.9625,0.9555308716459423,1.0,level0
indoor library,0.9547252655029297,0,0.9657727951971475,0,0.9962760925292968,0,0.9732446289062502,0,0.9273223132621953,0,0.9808156331380209,0,0.9702968597412109,0,0.9440940976767015,0,level0
lighthouse,0.9707496643066407,1.0,0.9829416159815436,0.75,0.9919898986816406,0.609375,0.9696136474609375,0.8875,0.925536712398374,0.925,0.9418421427408854,0.9375,0.9617259979248047,0.95,0.952818482084424,0.8875,level0
laboratory,0.980419921875,0.4791666666666667,0.9695899092911076,0,0.9857337951660156,0.75,0.988839111328125,0.5625,0.9374948393038617,0.75,0.9691922505696614,1.0,0.9747756958007813,0.8125,0.9504665514561518,0.4375,level0
mansion,0.981631088256836,0.75,0.9580933436451342,0.5208333333333334,0.9731651306152345,0,0.9938140869140625,0.71875,0.9683506415142276,0,0.9419082641601563,0.859375,0.9794071197509766,0.859375,0.9483694985274868,0.5833333333333334,level0
marsh,0.9794448852539063,1.0,0.9799152553481543,1.0,0.9778091430664062,0,0.97807373046875,0.9125,0.9588446392276422,0.71875,0.9515286763509114,0.8125,0.9787132263183593,1.0,0.9638372770778796,0.85,level0
mountain,0.9802650451660156,1.0,0.9846814046770135,1.0,0.9863441467285156,0.90625,0.9838189697265625,0.78125,0.9554111883892276,1.0,0.9516342163085938,1.0,0.9700660705566406,0.925,0.9549257607984293,1.0,level0
indoor movie theater,0.9769142150878907,0,0.9886843278104026,0,0.9917037963867188,0,0.986383056640625,0,0.9485784267022357,0,0.9494738260904947,0,0.9844165802001953,0,0.9692830190608639,0,level0
indoor museum,0.9709754943847656,0,0.935483300125839,0,0.9914558410644532,0,0.958282470703125,0,0.9455870093368903,0,0.9738728841145833,0,0.9370933532714844,0,0.9395093668193717,0,level0
music studio,0.9625667572021485,0.3125,0.9611092177013424,0.4375,0.9733306884765625,0.46875,0.9707952880859375,1.0,0.9511770356961382,0.375,0.9607063293457031,0,0.9725490570068359,0,0.9582754724312826,0.1875,level0
nursery,0.855592155456543,0.2708333333333333,0.9805909841652685,1.0,0.9855064392089843,0,0.97012451171875,0,0.9491584095528456,1.0,0.9691179911295573,0.375,0.9740642547607422,0.9375,0.9476790023723822,0.1875,level0
ocean,0.952978515625,0.90625,0.976307545092282,1.0,0.972051239013672,0.796875,0.9649658203125,0.5875,0.9651216336382115,0.703125,0.937286376953125,0.9375,0.9713233947753906,0.875,0.9653775359947645,0.9875,level0
office,0.9563671112060547,0.9625,0.929601313443792,0.8875,0.9930252075195313,1.0,0.9875048828125002,1.0,0.9625043667428862,0.65,0.9497609456380209,0.984375,0.9507980346679688,0.5875,0.9495352380562828,0.9375,level0
palace,0.9790546417236328,1.0,0.9554930002097315,0.6041666666666666,0.9803497314453125,0.1875,0.9735992431640625,0.0625,0.9133491330030488,0.7291666666666666,0.9193611145019531,0,0.9625568389892578,0,0.9537779163939792,0.125,level0
parking lot,0.9172618865966797,0.75,0.9533694683305368,0.9625,0.9837821960449219,0.953125,0.9820605468749999,0.95,0.9162962874745935,0.85,0.9485430399576823,1.0,0.9438484191894532,0.9625,0.96856925924411,0.775,level0
pharmacy,0.9877605438232422,1.0,0.9347754561661074,0.925,0.9902725219726562,0.859375,0.9621234130859376,0.9625,0.9209603658536585,0.8375,0.9292439778645833,0.859375,0.9586036682128907,0.9875,0.9465058491492148,1.0,level0
phone booth,0.987054443359375,1.0,0.972472734899329,1.0,0.9826820373535157,0.84375,0.9804840087890625,0.3958333333333333,0.9213005748221544,0.5416666666666666,0.9294537862141927,0,0.9152214050292968,0.7916666666666666,0.9451205108802355,0,level0
raceway,0.9791175842285156,0,0.9013118052642618,0,0.9286628723144531,0,0.9304235839843751,0,0.9121474847560975,0,0.8823677062988282,0,0.9525402069091797,0,0.9416869478075917,0,level0
restaurant,0.9855350494384766,0.8125,0.9372942009228188,0.45,0.9727340698242188,0.953125,0.9348925781249999,1.0,0.9508721576473576,0.45,0.9405871073404948,0.953125,0.9647991180419921,0.8125,0.9474023948789266,0.7875,level0
river,0.9821395874023438,1.0,0.9759978633598992,1.0,0.9679924011230469,0.90625,0.9645965576171875,0.8375,0.9590193089430894,0.95,0.9654574076334634,0.46875,0.9871067047119141,0.8375,0.9753476767015707,0.9125,level0
science museum,0.9719730377197265,0,0.8935207699769295,0,0.9833778381347655,0,0.9478857421875,0,0.9334032012195121,0,0.9353096008300782,0,0.9492225646972656,0,0.9248164471531414,0,level0
shower,0.9735183715820312,0.9125,0.9476539560612416,1.0,0.9651321411132812,0.765625,0.9765795898437502,0.6125,0.9023481167428862,0.921875,0.9739728291829427,1.0,0.9617961883544922,0.9125,0.9534780452388742,1.0,level0
ski slope,0.908192253112793,0.5125,0.9620487494756711,0.20833333333333334,0.9754905700683594,0.40625,0.9721173095703126,0.14583333333333334,0.9279388179623984,0.2916666666666667,0.9637850443522136,0.90625,0.9534099578857422,1.0,0.9798815342768326,0.65625,level0
sky,0.9275829315185546,0.8625,0.9871483719588927,0.9125,0.9828376770019531,0.75,0.9869940185546875,0.8125,0.956711286839431,0.9125,0.9576433817545573,0.859375,0.9625099182128907,0,0.9722464516524869,0.875,level0
skyscraper,0.9275829315185546,0.8625,0.9871483719588927,0.9125,0.9828376770019531,0.75,0.9869940185546875,0.8125,0.956711286839431,0.9125,0.9576433817545573,0.859375,0.9606109619140625,0.28125,0.9722464516524869,0.875,level0
baseball stadium,0.9291051864624024,0.9125,0.9468687735947986,0.609375,0.9797149658203125,0.25,0.953695068359375,1.0,0.9217007272611788,0.890625,0.9394943237304687,0.40625,0.9835147857666016,0.9625,0.9611611890543192,0.9,level0
staircase,0.9750751495361328,0.625,0.981107448091443,1.0,0.9881439208984375,0,0.9797991943359374,0.84375,0.9534040745680894,0.9375,0.9613151550292969,1.0,0.9386920928955078,0.6875,0.9473903795811518,0.5625,level0
street,0.9758296966552734,1.0,0.9589119520763424,0.9125,0.9037185668945313,0.5,0.9627996826171875,1.0,0.9401740345528455,1.0,0.961865234375,0.84375,0.9430377960205079,0.8875,0.9305520901505234,0.725,level0
supermarket,0.9743610382080078,0,0.9238985816904363,0.28125,0.968701171875,0.96875,0.932476806640625,0.25,0.9434451219512194,0.296875,0.9424814860026043,0.0625,0.9382801055908203,0,0.9482861583769633,0.8125,level0
indoor swimming pool,0.9608417510986328,0.95,0.9779975225461408,1.0,0.9574745178222657,0.59375,0.9838537597656251,0.8875,0.9513112137957318,0.75,0.981762440999349,0.84375,0.9766559600830078,0.6875,0.9556732657068064,0.7291666666666666,level0
tower,0.9637325286865235,0.59375,0.9678147283976509,0.9625,0.98353271484375,0.78125,0.9696038818359375,0.6875,0.9594341495172763,0.21875,0.9303423563639324,0.703125,0.9205314636230468,0.5875,0.9441736031577225,0.7916666666666666,level0
outdoor track,0.9751029968261719,0,0.9483631108431207,0,0.9814285278320313,0,0.915975341796875,0,0.9161513910060975,0,0.9359494527180989,0,0.9583225250244141,0,0.9742230959587695,0,level0
train railway,0.9732879638671875,0,0.9657829540687919,0,0.967706298828125,0,0.963765869140625,0,0.9346695566565041,0,0.9474215189615885,0,0.9717658996582031,0,0.9633794175392669,0,level0
train station platform,0.9877986907958984,0.7625,0.9583427275587247,0.8375,0.9638641357421875,0.6666666666666666,0.9324273681640625,0.40625,0.9373034965701221,0.5625,0.9358985900878907,0.71875,0.9609611511230469,0.75,0.9668027548265707,0.6666666666666666,level0
underwater coral reef,0.9759227752685546,0.375,0.9655093199454697,0.1875,0.9804183959960937,0.1875,0.9768157958984375,0.3125,0.9674935689786585,0,0.9770357767740886,0.3125,0.9780941009521484,0.1875,0.9513313972513089,0.40625,level0
valley,0.9722488403320313,1.0,0.9412853266568793,1.0,0.9805770874023438,1.0,0.98338623046875,0.953125,0.9433820026676829,0.725,0.9617515563964844,0.859375,0.958590316772461,1.0,0.9444453534031414,0.95,level0
volcano,0.9926475524902344,1.0,0.9875426017197986,1.0,0.9810768127441406,1.0,0.9872772216796875,1.0,0.9622713414634145,1.0,0.9625460306803385,0.703125,0.9890949249267578,1.0,0.9793937643160995,0.890625,level0
waterfall,0.9831588745117188,1.0,0.9774305919672818,1.0,0.9897087097167969,1.0,0.9833905029296875,0.875,0.9544592384400407,0.875,0.9650444030761719,0.734375,0.9745555877685547,1.0,0.9576391729384817,0.9625,level0
windmill,0.9758152008056641,1.0,0.9684884909815438,0.9875,0.9847160339355469,1.0,0.9803253173828125,1.0,0.9538359851371953,0.875,0.9265396118164062,0.9375,0.9488277435302734,0.8125,0.9747239037958115,1.0,level0
